Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
Longitude: 30.2145, Latitude: 62.123, Height: 123.45, Status: 0
